,score
Ndufa5,34.10875280478507
Scly,34.0626626291101
Gnptab,34.056173801772246
mt-Nd4,34.02699807187441
Fam64a,34.018571394061766
Rpl34,33.916112767953095
Slc16a13,33.900090657107626
Optn,33.88750214022838
Abcc4,33.87214579094359
Rps10,33.87086917536708
Plbd1,33.823864076447755
Cpn1,33.744224763248056
Slc38a6,33.71592173573389
Ndufb10,33.715103477304766
Slc26a6,33.698571920401974
Raly,33.63677854112073
Slc22a23,33.61686556945413
Trim6,33.616096782207606
Snx6,33.58799492443358
Rhox6,33.58333430864671
Net1,33.5692872323685
Atp6v0a1,33.55346411179715
Ndn,33.549182769031354
Chd7,33.48424664626069
Hsp90aa1,33.432804118931664
Ppid,33.42888151008781
Plekhh1,33.33831312411694
Eef1g,33.33526270876126
Dmxl1,33.33260458573694
Depdc7,33.29423621213101
Dek,33.26907857830219
Cd59a,33.19292917408171
H1fx,33.17102354023922
Rps27,33.089469903538
Sfi1,33.023431322932076
Tmem41b,33.02035285692522
Sptbn1,32.98780455828169
Timm13,32.95069059026637
Psma7,32.906924991966356
Rps13,32.88742256099155
Stt3b,32.874807875571875
Bex1,32.872606711878575
Ruvbl2,32.84667070328574
Glb1,32.835222414301455
Tomm20,32.779731354824456
Llgl2,32.75139374803292
Gdi2,32.6837432328419
Mcoln2,32.66963323358466
Tango2,32.52284976419629
Trappc2l,32.49235363096207
Rabac1,32.470832483413304
Sh3tc1,32.43113908291772
Dap,32.3940081103127
Rps6ka1,32.371229488809774
Preb,32.35666395931905
Rpl36,32.33550768120071
Fau,32.3346254554821
Nmral1,32.334601783144784
Slc36a1,32.3094495264515
Rcc2,32.29856183539643
Commd3,32.27322239445279
Atp5k,32.23571443197794
Lman2,32.1936089690682
Dhrs7b,32.13388134024908
Arhgef16,32.125258692968366
Pon2,32.10846509732129
Cbx7,32.10717770764337
P2rx4,32.10502997881641
Me2,32.0524163282031
Synj1,31.985050866093715
Camsap3,31.95173392915701
Agfg1,31.795063980912843
Arhgef5,31.739872580075527
C77080,31.726671262366512
Sap30,31.668477881295907
Timm17a,31.634727893204765
Pls1,31.633665905645806
Ndufb4,31.574487233068776
Xpr1,31.549228996389765
Rpl23a,31.498162448351273
Ube2s,31.483541759290553
Ndufs6,31.479097597933983
Cdk2ap1,31.404330135116734
Nt5dc2,31.329761653877
Aadac,31.24917147014883
Fam195a,31.23256825964393
F10,31.230602008715454
Mtus1,31.209758029250477
Mylip,31.16339788263096
Ptn,31.151513968397307
Lypla1,31.120187334356636
Sel1l3,31.093678731289902
Arhgap18,31.053754916285936
Canx,30.98618627270713
Rpl5,30.95363415785037
H2afy2,30.95286740636708
Acy1,30.905485465100963
Pdcd6ip,30.90316350932326
Abcd4,30.817140683091086
2010107E04Rik,30.74828705055073
Pcyt2,30.63523157565318
Xlr4a,30.423159396675974
Aldh3a2,30.408111140150456
Sec24c,30.36907945833446
Gtf2h1,30.35779329748906
Rnf130,30.356538778411526
Gata4,30.352666516454452
Cox7c,30.348254116041097
Cd55,30.347784743336685
Obsl1,30.33543291607142
Tbc1d1,30.306054930949784
Ptbp3,30.290731897846932
P4hb,30.205650258349383
Fbxo21,30.20314947362056
Prss12,30.039824036885655
Agrn,29.960704365954886
Inpp5f,29.937258607304162
Eea1,29.928082339143177
Xlr5a,29.919941570071767
Rab11fip5,29.856648254356465
Glrx5,29.802635135641253
Tspan3,29.75905378317267
Tmbim4,29.756807199593993
Gsn,29.742380325136764
Gar1,29.66407630912226
Atp5l,29.66214770805176
2410015M20Rik,29.62648269054166
Cd164,29.624823845809065
Klhl13,29.593214646378822
Srsf11,29.536200794657717
Igfbp4,29.513850871521523
Steap2,29.491884642865653
Sec61a1,29.461832786027102
Hsd17b4,29.456474793944196
Myo7a,29.360428738621927
Pnma5,29.322411591161107
Pgm3,29.25779228630566
Zdhhc9,29.179432104412047
Lad1,29.12288403622096
Rps16,29.115454878803213
Myo18a,28.974275031002147
Hmgn2,28.963184725181033
Tfeb,28.914640044440066
Tgm2,28.876720229452104
Pwwp2b,28.810844031361093
Ndufb11,28.7482137207784
Gna13,28.745441126138328
Pa2g4,28.733134442958622
Jade3,28.685729455420876
Copb2,28.681745476703313
Atraid,28.675090781111315
Vat1,28.66478179672607
Actg1,28.640678074937554
H2afx,28.62888808222072
Hnrnpdl,28.5816004197915
Card19,28.56659728888105
Pdzd3,28.554759496941248
Clic5,28.548781359685297
Acvr2b,28.539326594783414
Abcc5,28.49717032310339
0610011F06Rik,28.441779815962
Plscr1,28.422647434803036
Lmna,28.41977365579792
E430025E21Rik,28.402259729974162
Anxa4,28.397825376921535
Apoc2,28.38872518548504
Igf2r,28.386641635644303
Knop1,28.3221887245432
Pop5,28.316305527146294
Plxnb2,28.306856638468194
Id2,28.22333993087233
Hsp90b1,28.1386403535212
Trim25,28.083995078246975
Cd9,28.010491949150765
Ap1ar,27.992289009687223
Gltpd2,27.982915710589022
Ly75,27.966495429225798
Tmem9b,27.96367453275112
Stat3,27.943802460085077
Hacd2,27.9426592397586
Glrx2,27.940681121399983
Etv5,27.898686786978118
Limd2,27.776223071284605
Eif3i,27.753777699234327
Sgk1,27.74587025101422
Tmed7,27.738576341697566
Pla1a,27.72080672623394
Cox6a1,27.661497963566806
Gng2,27.653473645355913
Pcyox1,27.57402042794117
Hnrnpab,27.435658168972772
Eif3f,27.31733844034812
Bag2,27.312819558859985
Rangrf,27.28189645388484
Fcgr3,27.27260229139963
Acsl1,27.267730822589396
Esrra,27.25236865816617
Top1,27.111086787330485
Atp6ap1,27.08983927603059
Ppfibp2,27.066917030980136
Gsto1,27.040679025660246
Calm3,26.90750971131244
Chmp2b,26.89272821844719
Ndufb9,26.890419601382916
Foxa2,26.887022377305048
Lpar1,26.876097824830225
Prpf19,26.801663163163724
Sf3b4,26.753051856396674
Gigyf2,26.737789695454314
Mkrn2os,26.72684965519098
